pc_time,pc_seconds,#,UV_level,air_rpm,ignition,flame_level,flame_threshold,flame_detection_stat
11/7/2022 15:11,1657545117,3135551,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135571,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135591,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135611,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135631,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135651,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135671,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135691,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135711,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135731,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135751,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135771,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135791,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135811,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135831,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135851,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135871,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135891,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135911,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135931,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135951,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135971,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3135991,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3136011,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3136031,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3136051,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3136071,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3136091,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3136111,0,0,0,0,100,0
11/7/2022 15:11,1657545117,3136131,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136151,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136171,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136191,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136211,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136231,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136251,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136271,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136291,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136311,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136331,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136351,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136371,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136391,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136411,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136431,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136451,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136471,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136491,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136511,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136531,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136551,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136571,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136591,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136611,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136631,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136651,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136671,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136691,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136711,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136731,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136751,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136771,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136791,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136811,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136831,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136851,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136871,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136891,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136911,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136931,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136951,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136971,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3136991,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3137011,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3137031,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3137051,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3137071,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3137091,0,0,0,0,100,0
11/7/2022 15:11,1657545118,3137111,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137131,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137151,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137171,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137191,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137211,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137231,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137251,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137271,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137291,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137311,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137331,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137351,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137371,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137391,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137411,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137431,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137451,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137471,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137491,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137511,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137531,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137551,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137571,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137591,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137611,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137631,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137651,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137671,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137691,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137711,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137731,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137751,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137771,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137791,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137811,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137831,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137851,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137871,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137891,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137911,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137931,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137951,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137971,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3137991,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3138011,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3138031,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3138051,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3138071,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3138091,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3138111,0,0,0,0,100,0
11/7/2022 15:11,1657545119,3138131,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138151,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138171,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138191,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138211,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138231,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138251,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138271,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138291,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138311,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138331,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138351,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138371,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138391,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138411,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138431,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138451,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138471,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138491,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138511,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138531,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138551,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138571,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138591,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138611,0,0,0,0,100,0
11/7/2022 15:11,1657545120,3138631,0,0,0,0,100,0
11/7/2022 15:12,1657545120,3138651,0,0,0,0,100,0
11/7/2022 15:12,1657545120,3138671,0,0,0,0,100,0
11/7/2022 15:12,1657545120,3138691,0,0,0,0,100,0
11/7/2022 15:12,1657545120,3138711,0,0,0,0,100,0
11/7/2022 15:12,1657545120,3138731,0,0,0,0,100,0
11/7/2022 15:12,1657545120,3138751,0,0,0,0,100,0
11/7/2022 15:12,1657545120,3138771,0,0,0,0,100,0
11/7/2022 15:12,1657545120,3138791,0,0,0,0,100,0
11/7/2022 15:12,1657545120,3138811,0,0,0,0,100,0
11/7/2022 15:12,1657545120,3138831,0,0,0,0,100,0
11/7/2022 15:12,1657545120,3138851,0,0,0,0,100,0
11/7/2022 15:12,1657545120,3138871,0,0,0,0,100,0
11/7/2022 15:12,1657545120,3138891,0,0,0,0,100,0
11/7/2022 15:12,1657545120,3138911,0,0,0,0,100,0
11/7/2022 15:12,1657545120,3138931,0,0,0,0,100,0
11/7/2022 15:12,1657545120,3138951,0,0,0,0,100,0
11/7/2022 15:12,1657545120,3138971,0,0,0,0,100,0
11/7/2022 15:12,1657545120,3138991,0,0,0,0,100,0
11/7/2022 15:12,1657545120,3139011,0,0,0,0,100,0
11/7/2022 15:12,1657545120,3139031,0,0,0,0,100,0
11/7/2022 15:12,1657545120,3139051,0,0,0,0,100,0
11/7/2022 15:12,1657545120,3139071,0,0,0,0,100,0
11/7/2022 15:12,1657545120,3139091,0,0,0,0,100,0
11/7/2022 15:12,1657545120,3139111,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139131,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139151,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139171,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139191,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139211,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139231,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139251,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139271,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139291,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139311,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139331,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139351,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139371,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139391,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139411,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139431,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139451,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139471,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139491,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139511,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139531,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139551,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139571,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139591,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139611,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139631,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139651,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139671,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139691,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139711,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139731,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139751,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139771,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139791,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139811,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139831,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139851,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139871,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139891,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139911,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139931,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139951,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139971,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3139991,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3140011,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3140031,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3140051,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3140071,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3140091,0,0,0,0,100,0
11/7/2022 15:12,1657545121,3140111,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140131,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140151,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140171,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140191,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140211,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140231,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140251,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140271,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140291,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140311,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140331,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140351,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140371,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140391,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140411,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140431,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140451,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140471,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140491,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140511,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140531,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140551,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140571,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140591,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140611,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140631,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140651,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140671,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140691,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140711,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140731,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140751,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140771,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140791,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140811,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140831,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140851,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140871,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140891,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140911,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140931,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140951,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140971,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3140991,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3141011,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3141031,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3141051,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3141071,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3141091,0,0,0,0,100,0
11/7/2022 15:12,1657545122,3141111,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141131,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141151,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141171,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141191,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141211,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141231,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141251,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141271,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141291,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141311,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141331,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141351,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141371,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141391,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141411,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141431,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141451,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141471,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141491,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141511,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141531,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141551,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141571,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141591,0,0,0,0,100,0
11/7/2022 15:12,1657545123,3141611,0,0,0,0,100,0
